0,date,time,name,status,severity,reason
1,2024_09_06,21:37:54,waterloo-city,Good Service,10,none
2,2024_09_06,21:39:28,waterloo-city,Good Service,10,none
3,2024_09_06,21:41:46,waterloo-city,Good Service,10,none
4,2024_09_06,21:42:47,waterloo-city,Good Service,10,none
5,2024_09_06,21:43:48,waterloo-city,Good Service,10,none
6,2024_09_06,21:44:49,waterloo-city,Good Service,10,none
7,2024_09_06,21:45:51,waterloo-city,Good Service,10,none
8,2024_09_06,21:46:52,waterloo-city,Good Service,10,none
9,2024_09_06,21:47:53,waterloo-city,Good Service,10,none
10,2024_09_06,21:48:55,waterloo-city,Good Service,10,none
11,2024_09_06,21:49:56,waterloo-city,Good Service,10,none
12,2024_09_06,21:50:57,waterloo-city,Good Service,10,none
13,2024_09_06,21:51:58,waterloo-city,Good Service,10,none
14,2024_09_06,21:52:59,waterloo-city,Good Service,10,none
